Jahr,Indikator,Wert
2014,Anzahl Minderjährige Personen mit Massnahmen,7798
2015,Anzahl Minderjährige Personen mit Massnahmen,7883
2016,Anzahl Minderjährige Personen mit Massnahmen,7959
2017,Anzahl Minderjährige Personen mit Massnahmen,7681
2018,Anzahl Minderjährige Personen mit Massnahmen,7459
2019,Anzahl Minderjährige Personen mit Massnahmen,7521
2020,Anzahl Minderjährige Personen mit Massnahmen,7715
2021,Anzahl Minderjährige Personen mit Massnahmen,8033
2022,Anzahl Minderjährige Personen mit Massnahmen,8159
2014,Ständige Wohnbevölkerung 0-17 Jahre,202031
2015,Ständige Wohnbevölkerung 0-17 Jahre,206380
2016,Ständige Wohnbevölkerung 0-17 Jahre,211052
2017,Ständige Wohnbevölkerung 0-17 Jahre,214944
2018,Ständige Wohnbevölkerung 0-17 Jahre,218039
2019,Ständige Wohnbevölkerung 0-17 Jahre,221320
2020,Ständige Wohnbevölkerung 0-17 Jahre,223848
2021,Ständige Wohnbevölkerung 0-17 Jahre,225616
2022,Ständige Wohnbevölkerung 0-17 Jahre,225640
2014,Verhältnis minderjährige Personen mit Massnahmen zur ständigen Bevölkerung (0-17 Jahre),0.0386
2015,Verhältnis minderjährige Personen mit Massnahmen zur ständigen Bevölkerung (0-17 Jahre),0.0382
2016,Verhältnis minderjährige Personen mit Massnahmen zur ständigen Bevölkerung (0-17 Jahre),0.0377
2017,Verhältnis minderjährige Personen mit Massnahmen zur ständigen Bevölkerung (0-17 Jahre),0.0357
2018,Verhältnis minderjährige Personen mit Massnahmen zur ständigen Bevölkerung (0-17 Jahre),0.0342
2019,Verhältnis minderjährige Personen mit Massnahmen zur ständigen Bevölkerung (0-17 Jahre),0.0340
2020,Verhältnis minderjährige Personen mit Massnahmen zur ständigen Bevölkerung (0-17 Jahre),0.0345
2021,Verhältnis minderjährige Personen mit Massnahmen zur ständigen Bevölkerung (0-17 Jahre),0.0356
2022,Verhältnis minderjährige Personen mit Massnahmen zur ständigen Bevölkerung (0-17 Jahre),0.0362
